longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,Actual House Prize,Predicted House Prize,Error,Deviation
-122.03,37.86,29.0,3025.0,477.0,1035.0,452.0,6.112,3,390600.0,311855.0639694468,78744.93603055319,78744.93603055319
-122.65,38.24,24.0,1948.0,310.0,922.0,313.0,4.95,0,243600.0,252101.4934493358,8501.493449335801,-8501.493449335801
-116.9,34.69,10.0,337.0,102.0,108.0,50.0,0.4999,1,55000.0,-27555.229362476384,82555.22936247638,82555.22936247638
-122.35,40.57,18.0,2226.0,490.0,859.0,451.0,1.6821,1,69400.0,40643.85489608414,28756.145103915856,28756.145103915856
-119.33,36.3,12.0,2172.0,352.0,1013.0,354.0,4.9464,1,115600.0,183107.63395603138,67507.63395603138,-67507.63395603138
-117.14,32.93,16.0,2412.0,419.0,1612.0,422.0,4.5086,0,171100.0,200027.72437487575,28927.724374875746,-28927.724374875746
-117.5,33.98,21.0,2394.0,416.0,1291.0,381.0,4.2099,1,138700.0,177758.5688020092,39058.56880200919,-39058.56880200919
-122.43,37.7,19.0,1733.0,354.0,959.0,348.0,4.7708,3,281700.0,262545.59209265077,19154.407907349232,19154.407907349232
-118.45,34.15,10.0,1091.0,260.0,517.0,266.0,4.1727,0,332600.0,221203.29058462672,111396.70941537328,111396.70941537328
-118.34,34.09,5.0,2665.0,954.0,1733.0,766.0,2.3568,0,204700.0,202798.95115681694,1901.04884318306,1901.04884318306
-119.82,34.43,15.0,1482.0,345.0,669.0,379.0,3.0773,4,112500.0,235598.64669401513,123098.64669401513,-123098.64669401513
-122.09,37.38,34.0,1959.0,342.0,849.0,357.0,6.2884,3,414700.0,342515.17007619725,72184.82992380275,72184.82992380275
-120.63,35.13,16.0,2680.0,704.0,975.0,619.0,1.7878,0,55000.0,232415.95912548064,177415.95912548064,-177415.95912548064
-118.49,34.02,28.0,1394.0,582.0,716.0,543.0,1.5132,0,450000.0,197598.99936918385,252401.00063081615,252401.00063081615
-121.35,38.62,28.0,4175.0,796.0,2032.0,830.0,3.4299,1,164000.0,154031.55449646575,9968.445503534254,9968.445503534254
-118.41,34.01,26.0,2503.0,449.0,1218.0,426.0,5.3683,0,500001.0,278975.21136609564,221025.78863390436,221025.78863390436
-123.21,39.15,52.0,1370.0,258.0,617.0,228.0,2.55,0,112900.0,179001.31042493365,66101.31042493365,-66101.31042493365
-118.06,33.85,16.0,4851.0,726.0,2527.0,704.0,6.0142,0,437400.0,251786.65353579665,185613.34646420335,185613.34646420335
-118.29,33.94,32.0,2701.0,708.0,1880.0,590.0,1.6716,0,123800.0,147926.96481607473,24126.96481607473,-24126.96481607473
-121.88,37.36,42.0,2087.0,402.0,1342.0,423.0,4.2149,0,199000.0,246040.84115227094,47040.841152270936,-47040.841152270936
-121.3,38.74,41.0,4374.0,1039.0,2387.0,959.0,2.3611,1,87900.0,144598.37908102226,56698.379081022256,-56698.379081022256
-121.99,37.56,18.0,5505.0,1005.0,2641.0,971.0,5.0,0,269700.0,272212.39113281266,2512.391132812656,-2512.391132812656
-118.31,33.98,52.0,1837.0,426.0,1062.0,343.0,2.0,0,96500.0,173456.01447357977,76956.01447357977,-76956.01447357977
-117.75,34.05,27.0,437.0,108.0,469.0,97.0,1.7206,1,107500.0,88009.05884300766,19490.94115699234,19490.94115699234
-121.46,38.54,36.0,1825.0,411.0,1226.0,391.0,1.5292,1,55700.0,70663.61776564442,14963.61776564442,-14963.61776564442
-124.09,40.44,38.0,2220.0,426.0,1041.0,401.0,2.3947,0,70500.0,146566.02628410966,76066.02628410966,-76066.02628410966
-117.22,34.07,8.0,3065.0,692.0,1440.0,666.0,3.2368,1,129200.0,157545.77589139604,28345.775891396042,-28345.775891396042
-117.99,33.75,22.0,3024.0,754.0,2357.0,743.0,3.3125,0,191800.0,190037.8716069022,1762.1283930978097,1762.1283930978097
-116.02,34.18,8.0,569.0,97.0,312.0,96.0,4.3021,1,94500.0,100284.16514800859,5784.165148008586,-5784.165148008586
-117.82,33.88,15.0,5392.0,895.0,2531.0,827.0,6.2185,0,280300.0,276788.4179169629,3511.582083037123,3511.582083037123
-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164,0,248900.0,249450.43632582278,550.4363258227822,-550.4363258227822
-118.22,33.93,39.0,1921.0,483.0,2286.0,470.0,3.0167,0,130000.0,152805.3444103439,22805.34441034391,-22805.34441034391
-117.23,32.75,5.0,1824.0,463.52670042282193,892.0,426.0,3.4286,4,137500.0,206927.28499966612,69427.28499966612,-69427.28499966612
-122.49,37.78,42.0,2723.0,579.0,1419.0,519.0,3.6429,3,328400.0,252601.83016133372,75798.16983866628,75798.16983866628
-118.28,33.99,49.0,2174.0,481.0,1861.0,484.0,1.7159,0,95000.0,130403.06972459001,35403.06972459001,-35403.06972459001
-122.17,37.76,33.0,1280.0,307.0,999.0,286.0,2.5625,3,89300.0,165711.75251078617,76411.75251078617,-76411.75251078617
